airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-05-27,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No info,2754
Jet Airways,2019-06-09,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,10262
Spicejet,2019-05-06,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3859
Air India,2019-05-24,Kolkata,Banglore,14:35:00,14:35:00,1440,1.0,No info,6528
Vistara,2019-03-12,Mumbai,Hyderabad,07:30:00,19:55:00,745,1.0,No info,12080
Jet Airways,2019-05-27,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,12898
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,07:40:00,1420,1.0,No info,22270
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,In-flight meal not included,9663
Multiple Carriers,2019-06-09,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No info,12192
Air India,2019-04-18,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No info,8246
Multiple Carriers,2019-03-03,Delhi,Cochin,11:35:00,21:00:00,565,3.0,No info,21829
Indigo,2019-06-03,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No info,2754
Multiple Carriers,2019-03-03,Delhi,Cochin,16:00:00,01:35:00,575,1.0,No info,21226
Jet Airways,2019-06-27,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No info,14714
Multiple Carriers,2019-05-15,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No info,9646
Air India,2019-03-09,Delhi,Cochin,20:00:00,19:15:00,1395,2.0,No info,16111
Air India,2019-05-06,Kolkata,Banglore,09:25:00,01:20:00,955,2.0,No info,11458
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,8849
Air India,2019-05-27,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No info,10467
Spicejet,2019-05-18,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No info,2017
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,22:05:00,1745,1.0,In-flight meal not included,10539
Goair,2019-06-09,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No info,3898
Vistara,2019-03-01,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No info,9125
Indigo,2019-05-27,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No info,6769
Indigo,2019-04-18,Delhi,Cochin,14:20:00,17:35:00,195,0.0,No info,6015
Spicejet,2019-04-24,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No info,4957
Indigo,2019-06-01,Banglore,Delhi,10:30:00,13:20:00,170,0.0,No info,3943
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,In-flight meal not included,9899
Jet Airways,2019-03-06,Delhi,Cochin,20:05:00,04:25:00,500,2.0,No info,52285
Multiple Carriers,2019-03-21,Delhi,Cochin,11:40:00,01:35:00,835,1.0,No info,7695
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,21:20:00,855,2.0,No info,7084
Air India,2019-06-12,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No info,10975
Jet Airways,2019-06-03,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-09,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No info,15078
Air India,2019-05-21,Kolkata,Banglore,09:25:00,21:50:00,745,1.0,No info,8366
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,No info,10953
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No info,13014
Air India,2019-03-12,Mumbai,Hyderabad,21:10:00,16:55:00,255,2.0,No info,16172
Goair,2019-06-01,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No info,10651
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,In-flight meal not included,10844
Spicejet,2019-03-01,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,5515
Indigo,2019-03-09,Banglore,New Delhi,12:05:00,17:05:00,300,1.0,No info,4588
Multiple Carriers,2019-06-27,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No info,13587
Jet Airways,2019-05-27,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No info,16079
Multiple Carriers,2019-05-18,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No info,8309
Air India,2019-05-09,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No info,9626
Jet Airways,2019-04-21,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4544
Vistara,2019-05-18,Kolkata,Banglore,07:10:00,18:50:00,700,1.0,No info,9345
Indigo,2019-03-06,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No info,5618
